topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/perception/obstacle_segmentation/crop_box_filter/debug/pipeline_latency_ms,Best-Effort,5938,4.485,14.287,15.488,5.789,6.368,,,0.0
/perception/obstacle_segmentation/crop_box_filter/debug/processing_time_ms,Best-Effort,5938,4.051,14.164,15.367,5.63,6.124,,,0.0
/perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/cyclic_time_ms,Best-Effort,5936,5.806,9.494,10.377,3.571,1.754,,,0.0
/perception/obstacle_segmentation/occupancy_grid_map_outlier_filter/debug/processing_time_ms,Best-Effort,5946,5.614,9.376,10.274,3.644,1.717,,,0.0
/perception/obstacle_segmentation/pointcloud_map_filtered/downsampled/pointcloud/debug/published_time,Best-Effort,5942,5.702,9.42,10.29,3.606,1.74,,,0.0
/perception/obstacle_segmentation/range_cropped/pointcloud/debug/published_time,Best-Effort,5948,6.359,14.263,15.49,6.122,6.91,,,0.0
/perception/obstacle_segmentation/scan_ground_filter/debug/cyclic_time_ms,Best-Effort,5946,8.723,13.802,14.631,5.323,2.051,,,0.0
/perception/obstacle_segmentation/scan_ground_filter/debug/processing_time_ms,Best-Effort,5924,8.804,13.869,14.7,5.296,2.037,,,0.0
/perception/obstacle_segmentation/single_frame/pointcloud/debug/published_time,Best-Effort,5928,8.763,13.811,14.672,5.293,1.987,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/cyclic_time_ms,Best-Effort,5938,5.731,9.476,10.38,3.635,1.741,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/pipeline_latency_ms,Best-Effort,5924,5.893,9.506,10.43,3.467,1.714,,,0.0
/perception/occupancy_grid_map/pointcloud_based_occupancy_grid_map/debug/processing_time_ms,Best-Effort,5944,5.636,9.406,10.3,3.659,1.712,,,0.0
/planning/auto_mode_status/avoidance_by_lane_change_left,Best-Effort,5951,1.994,4.682,6.113,1.527,2.058,,,0.0
/planning/auto_mode_status/avoidance_by_lane_change_right,Best-Effort,5953,1.883,4.54,5.984,1.514,2.042,,,0.0
/planning/auto_mode_status/blind_spot,Best-Effort,5951,1.789,4.552,6.381,1.527,1.999,,,0.0
/planning/auto_mode_status/crosswalk,Best-Effort,5945,1.209,3.875,5.899,1.355,1.78,,,0.0
/planning/auto_mode_status/goal_planner,Best-Effort,5933,2.068,4.766,6.332,1.546,2.062,,,0.0
