topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/planning/auto_mode_status/blind_spot,Best-Effort,1517,1323.075,1619.183,1648.937,229.329,304.246,,,0.740106
/planning/auto_mode_status/crosswalk,Best-Effort,1583,1320.476,1621.706,1659.92,233.32,316.117,,,0.72866
/planning/auto_mode_status/goal_planner,Best-Effort,1486,1324.594,1613.765,1641.152,226.226,298.041,,,0.745024
/planning/auto_mode_status/intersection,Best-Effort,1544,1321.773,1620.212,1659.236,229.76,307.461,,,0.735254
/planning/auto_mode_status/intersection_occlusion,Best-Effort,1523,1322.863,1619.007,1650.546,228.54,304.419,,,0.73872
/planning/auto_mode_status/lane_change_left,Best-Effort,1457,1324.729,1611.449,1641.394,224.259,293.112,,,0.750214
/planning/auto_mode_status/lane_change_right,Best-Effort,1471,1323.867,1612.338,1640.821,225.262,295.448,,,0.747901
/planning/auto_mode_status/no_stopping_area,Best-Effort,1510,1323.505,1618.485,1645.316,228.572,303.028,,,0.74135
/planning/auto_mode_status/start_planner,Best-Effort,1506,1322.409,1617.797,1645.336,228.672,302.376,,,0.741991
/planning/auto_mode_status/static_obstacle_avoidance_left,Best-Effort,1567,1322.197,1620.552,1660.207,231.08,311.312,,,0.73154
/planning/auto_mode_status/static_obstacle_avoidance_right,Best-Effort,1539,1321.454,1619.567,1653.219,228.419,305.683,,,0.736382
/planning/auto_mode_status/traffic_light,Best-Effort,1555,1322.1,1620.226,1659.649,230.889,310.829,,,0.733139
/planning/cooperate_status/avoidance_by_lane_change_left,Best-Effort,1487,1310.937,1601.478,1629.025,226.26,304.283,,,0.745333
/planning/cooperate_status/avoidance_by_lane_change_right,Best-Effort,1487,1310.928,1601.528,1629.121,226.186,304.256,,,0.744896
/planning/cooperate_status/blind_spot,Best-Effort,1606,1307.585,1591.079,1622.085,222.432,311.765,,,0.724764
/planning/cooperate_status/crosswalk,Best-Effort,1577,1306.065,1594.231,1622.874,223.031,310.738,,,0.729873
/planning/cooperate_status/goal_planner,Best-Effort,1472,1314.495,1601.827,1631.164,232.101,299.822,,,0.747945
/planning/cooperate_status/intersection,Best-Effort,1599,1307.299,1590.324,1622.506,223.66,312.153,,,0.725729
/planning/cooperate_status/intersection_occlusion,Best-Effort,1601,1307.526,1590.092,1622.43,222.163,311.936,,,0.72548
/planning/cooperate_status/lane_change_left,Best-Effort,1482,1311.501,1601.642,1629.453,226.34,303.85,,,0.746146
/planning/cooperate_status/lane_change_right,Best-Effort,1475,1312.768,1601.821,1629.641,225.742,302.264,,,0.747128
/planning/cooperate_status/no_stopping_area,Best-Effort,1610,1308.503,1584.485,1621.146,229.291,312.114,,,0.724032
/planning/cooperate_status/start_planner,Best-Effort,1467,1315.202,1602.011,1631.527,232.034,299.15,,,0.748801
/planning/cooperate_status/static_obstacle_avoidance_left,Best-Effort,1464,1314.028,1602.121,1630.607,225.156,301.156,,,0.749229
/planning/cooperate_status/static_obstacle_avoidance_right,Best-Effort,1462,1314.351,1602.21,1630.927,225.047,300.783,,,0.749529
/planning/cooperate_status/traffic_light,Best-Effort,1588,1308.79,1593.721,1622.751,221.952,310.941,,,0.727382
